InitialBalance,BaseBetAmount,MaxRounds,TargetBalance,Balance,Profit,TotalProfit,TotalLoss,RoundsPlayed,MaxWinStreak,MaxLoseStreak,TargetReached,OutOfMoney,ChangeColorAfterWin
256.0,1.0,100,306.0,306.0,50.0,302.0,252.0,101,6,7,true,false,true
256.0,1.0,100,306.0,306.0,50.0,172.0,122.0,96,6,6,true,false,true
256.0,1.0,100,306.0,305.0,49.0,196.0,147.0,101,5,6,false,false,true
256.0,1.0,100,306.0,0.0,-256.0,64.0,320.0,57,4,9,false,true,true
256.0,1.0,100,306.0,306.0,50.0,238.0,188.0,106,6,5,true,false,true
256.0,1.0,100,306.0,306.0,50.0,249.0,199.0,92,8,7,true,false,true
256.0,1.0,100,306.0,302.0,46.0,310.0,264.0,103,6,6,false,false,true
256.0,1.0,100,306.0,306.0,50.0,179.0,129.0,96,6,6,true,false,true
256.0,1.0,100,306.0,0.0,-256.0,0.0,256.0,8,0,9,false,true,true
256.0,1.0,100,306.0,299.0,43.0,271.0,228.0,105,5,6,false,false,true
256.0,1.0,100,306.0,299.0,43.0,217.0,174.0,102,5,5,false,false,true
256.0,1.0,100,306.0,304.0,48.0,240.0,192.0,102,5,6,false,false,true
256.0,1.0,100,306.0,306.0,50.0,212.0,162.0,99,6,6,true,false,true
256.0,1.0,100,306.0,306.0,50.0,215.0,165.0,101,5,6,true,false,true
256.0,1.0,100,306.0,306.0,50.0,242.0,192.0,96,8,7,true,false,true
256.0,1.0,100,306.0,306.0,50.0,152.0,102.0,100,7,4,true,false,true
256.0,1.0,100,306.0,0.0,-256.0,62.0,318.0,37,3,8,false,true,true
256.0,1.0,100,306.0,0.0,-256.0,61.0,317.0,38,5,9,false,true,true
256.0,1.0,100,306.0,306.0,50.0,132.0,82.0,88,9,4,true,false,true
256.0,1.0,100,306.0,306.0,50.0,237.0,187.0,92,6,7,true,false,true
256.0,1.0,100,306.0,306.0,50.0,125.0,75.0,90,11,4,true,false,true
256.0,1.0,100,306.0,306.0,50.0,148.0,98.0,89,11,5,true,false,true
