scenarioId,averageProfit,medianProfit,profitStdDev,probabilityOfRuin,probabilityOfReachingTarget,averageRoundsPlayed,confidenceIntervalLower,confidenceIntervalUpper
10737418240100,-75.54999999999993,130.0,1004.1670489122853,0.01,0.6,51.66,-274.79852805274095,123.69852805274112
4294967297000,-201.71999999999989,475.0,1099.808138272354,0.22,0.23,446.5,-419.9457951289671,16.50579512896735
4294967296200,-3.080000000000043,100.0,456.90910795178166,0.02,0.54,101.53,-93.74067972644238,87.5806797264423
2147483648500,19.360000000000014,125.0,323.6743443835505,0.06,0.51,246.63,-44.864012087148055,83.58401208714808
3221225472300,-45.779999999999994,114.0,478.8021739906597,0.06,0.56,148.87,-140.78473900177207,49.22473900177207
4294967296300,-60.72000000000009,148.0,636.3542320805832,0.06,0.48,148.54,-186.98648544137208,65.54648544137191
2147483648400,-106.85999999999996,97.0,428.2831834808894,0.14,0.4,189.48,-191.84067526786896,-21.879324732130968
3221225473000,-69.79499999999996,358.5,755.4456678315489,0.16,0.22,466.06,-219.6918100001897,80.10181000018977
3221225472200,-20.024999999999935,75.0,379.2550937513744,0.05,0.51,99.77,-95.27743859407532,55.22743859407545
10737418240300,65.59999999999995,375.0,1235.382057617331,0.03,0.52,148.66,-179.5266020226889,310.72660202268884
3221225472100,-39.58499999999998,39.0,343.14964235076,0.04,0.69,51.14,-107.67333372323273,28.50333372323277
10737418241000,-526.5500000000004,1197.5,2782.111662120169,0.24,0.27,445.82,-1078.58131207727,25.48131207726908
10737418240200,43.05000000000021,255.0,1034.7785336178765,0.02,0.56,101.18,-162.2725107388933,248.3725107388937
4294967296100,30.18000000000002,51.0,210.02050789714252,0.01,0.6,51.9,-11.492625191916652,71.8526251919167
10737418240500,-383.65000000000003,602.5,2156.0264207026016,0.15,0.38,233.08,-811.4524171706692,44.15241717066908
2147483648100,5.25,26.0,144.83514662183933,0.01,0.66,51.75,-23.48843530910881,33.98843530910881
10737418240400,-261.5,490.0,1885.7355958282533,0.1,0.41,190.37,-635.67085351728,112.67085351728002
4294967296400,-194.47999999999996,192.0,842.4434456934895,0.14,0.41,187.14,-361.6390565573013,-27.32094344269865
2147483648300,-13.29000000000003,73.5,299.59444961885436,0.08,0.44,145.69,-72.73603854905234,46.15603854905228
3221225472500,-23.504999999999963,184.5,543.0489286092334,0.08,0.38,242.57,-131.25768896067834,84.24768896067842
4294967296500,-82.87999999999991,250.0,798.8530323361911,0.12,0.52,236.82999999999998,-241.38977284692635,75.62977284692653
2147483649000,-6.5700000000000145,239.0,493.4576676858714,0.17,0.22,455.27,-104.48270690394554,91.3427069039455
2147483648200,8.479999999999984,50.0,207.40578876232266,0.03,0.54,100.52,-32.673808188860754,49.63380818886072
3221225472400,-91.83000000000004,143.25,570.8459265144858,0.09,0.3,192.47,-205.09821640494778,21.43821640494768
